context_length,chars_processed,time_microsec,num_nodes,num_child_slots
1,100000,10915,1055,0
1,200000,21439,1275,0
1,300000,31874,1428,0
1,400000,42289,1590,0
1,500000,52676,1691,0
1,600000,63046,1750,0
1,700000,73443,1825,0
1,800000,83838,1912,0
1,900000,94203,1968,0
1,1000000,104555,1995,0
1,1100000,114997,2037,0
1,1200000,125336,2067,0
1,1300000,135669,2115,0
1,1400000,146002,2153,0
1,1500000,156322,2164,0
1,1600000,166648,2192,0
1,1700000,176956,2204,0
1,1800000,187285,2230,0
1,1900000,197590,2252,0
1,2000000,207895,2275,0
1,2100000,218232,2306,0
1,2200000,228552,2325,0
1,2300000,238890,2345,0
1,2400000,249227,2376,0
1,2500000,259560,2414,0
1,2600000,269914,2440,0
1,2700000,280247,2463,0
1,2800000,290545,2479,0
1,2900000,300865,2495,0
1,3000000,311170,2510,0
1,3100000,321459,2530,0
1,3200000,331747,2538,0
1,3300000,342038,2548,0
1,3400000,352340,2558,0
1,3500000,362636,2566,0
1,3600000,372947,2586,0
1,3700000,383267,2593,0
1,3800000,393577,2612,0
1,3900000,403870,2623,0
1,4000000,414164,2638,0
1,4100000,424459,2654,0
1,4200000,434751,2681,0
1,4300000,445064,2693,0
1,4400000,455365,2723,0
1,4500000,465687,2732,0
1,4600000,476021,2742,0
1,4700000,486375,2756,0
1,4800000,496683,2767,0
1,4900000,506990,2778,0
1,5000000,517311,2789,0
1,5100000,527624,2798,0
1,5200000,537946,2809,0
1,5300000,548290,2825,0
1,5400000,558590,2836,0
1,5500000,568885,2853,0
1,5600000,579219,2861,0
1,5700000,589534,2868,0
1,5800000,599846,2879,0
1,5900000,610173,2883,0
1,6000000,620488,2892,0
1,6100000,630784,2898,0
1,6200000,641083,2903,0
1,6300000,651398,2911,0
1,6400000,661691,2918,0
1,6500000,672071,2920,0
1,6600000,682430,2930,0
1,6700000,692764,2946,0
1,6800000,703091,2966,0
1,6900000,713403,2971,0
1,7000000,723709,2978,0
1,7100000,734012,2986,0
1,7200000,744320,2994,0
1,7300000,754614,2998,0
1,7400000,764913,3010,0
1,7500000,775228,3018,0
1,7600000,785559,3030,0
1,7700000,795861,3032,0
1,7800000,806174,3039,0
1,7900000,816485,3047,0
1,8000000,826782,3051,0
1,8100000,837080,3062,0
1,8200000,847386,3068,0
1,8300000,857688,3073,0
1,8400000,868041,3083,0
1,8500000,878367,3086,0
1,8600000,888665,3088,0
1,8700000,898967,3094,0
1,8800000,909279,3097,0
1,8900000,919581,3103,0
1,9000000,929890,3113,0
1,9100000,940188,3117,0
1,9200000,950515,3120,0
1,9300000,960827,3122,0
1,9400000,971147,3123,0
1,9500000,981482,3126,0
1,9600000,991794,3130,0
1,9700000,1002117,3132,0
1,9800000,1012422,3139,0
1,9900000,1022731,3147,0
1,10000000,1033054,3151,0
1,10100000,1043379,3156,0
1,10200000,1053688,3156,0
1,10300000,1064020,3160,0
1,10400000,1074364,3165,0
1,10500000,1084700,3166,0
1,10600000,1095040,3176,0
1,10700000,1105379,3199,0
1,10800000,1115727,3209,0
1,10900000,1126025,3210,0
1,11000000,1136360,3213,0
1,11100000,1146676,3219,0
1,11200000,1157003,3230,0
1,11300000,1167318,3235,0
1,11400000,1177629,3242,0
1,11500000,1187955,3261,0
1,11600000,1198283,3272,0
1,11700000,1208593,3279,0
1,11800000,1218899,3281,0
1,11900000,1229222,3287,0
1,12000000,1239540,3296,0
1,12100000,1249847,3297,0
1,12200000,1260145,3297,0
1,12300000,1270486,3317,0
1,12400000,1280835,3321,0
1,12500000,1291146,3327,0
1,12600000,1301454,3334,0
1,12700000,1311766,3353,0
1,12800000,1322088,3363,0
1,12900000,1332413,3368,0
1,13000000,1342737,3376,0
1,13100000,1353058,3382,0
1,13200000,1363370,3393,0
1,13300000,1373681,3399,0
1,13400000,1384017,3402,0
1,13500000,1394329,3406,0
1,13600000,1404633,3406,0
1,13700000,1414929,3409,0
1,13800000,1425258,3418,0
1,13900000,1435565,3426,0
1,14000000,1445873,3444,0
1,14100000,1456233,3447,0
1,14200000,1466534,3450,0
1,14300000,1476839,3455,0
1,14400000,1487167,3458,0
1,14500000,1497467,3461,0
1,14600000,1507763,3465,0
1,14700000,1518070,3468,0
1,14800000,1528379,3475,0
1,14900000,1538688,3485,0
1,15000000,1548991,3490,0
