context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
13,49,77,0,1,0,16799304,4.64968
13,49,77,0,1,10000000,170484837,2.09211
13,49,77,0,1,20000000,336528504,2.0026
13,49,77,0,1,30000000,510098490,1.94448
13,49,77,0,1,40000000,689744594,1.91418
13,49,77,0,1,50000000,873386973,1.88871
13,49,77,0,1,60000000,1062602076,1.86197
13,49,77,0,1,70000000,1252482536,1.85272
13,49,77,0,1,80000000,1454235816,1.83402
13,49,77,0,1,90000000,1667837298,1.8247
