context_length,alpha,beta,adapt,pretrain,chars_processed,time_microsec,bpc
3,49,77,1,1,11500000,1906680,0
3,49,77,1,1,12000000,1984023,0
4,49,77,0,1,500000,110978,0
4,49,77,0,1,1000000,214311,0
4,49,77,0,1,1500000,315990,0
4,49,77,0,1,2000000,414402,0
4,49,77,0,1,2500000,516920,0
4,49,77,0,1,3000000,617446,0
4,49,77,0,1,3500000,716967,0
4,49,77,0,1,4000000,816636,0
4,49,77,0,1,4500000,915433,0
4,49,77,0,1,5000000,1016382,0
4,49,77,0,1,5500000,1113869,0
4,49,77,0,1,6000000,1211756,0
4,49,77,0,1,6500000,1309386,0
4,49,77,0,1,7000000,1410085,0
4,49,77,0,1,7500000,1509382,0
4,49,77,0,1,8000000,1607511,0
4,49,77,0,1,8500000,1706503,0
4,49,77,0,1,9000000,1804681,0
4,49,77,0,1,9500000,1902964,0
4,49,77,0,1,10000000,2000311,0
4,49,77,0,1,10500000,2097729,0
4,49,77,0,1,11000000,2194969,0
4,49,77,0,1,11500000,2293671,0
4,49,77,0,1,12000000,2391721,0
4,49,77,1,1,500000,112270,0
4,49,77,1,1,1000000,215592,0
4,49,77,1,1,1500000,317104,0
4,49,77,1,1,2000000,415375,0
4,49,77,1,1,2500000,517684,0
4,49,77,1,1,3000000,618044,0
4,49,77,1,1,3500000,717366,0
4,49,77,1,1,4000000,816765,0
4,49,77,1,1,4500000,915312,0
4,49,77,1,1,5000000,1016036,0
4,49,77,1,1,5500000,1113110,0
4,49,77,1,1,6000000,1210577,0
4,49,77,1,1,6500000,1307956,0
4,49,77,1,1,7000000,1408375,0
4,49,77,1,1,7500000,1507362,0
4,49,77,1,1,8000000,1605160,0
4,49,77,1,1,8500000,1703924,0
4,49,77,1,1,9000000,1801862,0
4,49,77,1,1,9500000,1899911,0
4,49,77,1,1,10000000,1997025,0
4,49,77,1,1,10500000,2094223,0
4,49,77,1,1,11000000,2191176,0
4,49,77,1,1,11500000,2289641,0
4,49,77,1,1,12000000,2387292,0
5,49,77,0,1,500000,140679,0
5,49,77,0,1,1000000,276530,0
5,49,77,0,1,1500000,412418,0
5,49,77,0,1,2000000,543977,0
5,49,77,0,1,2500000,687566,0
5,49,77,0,1,3000000,827745,0
5,49,77,0,1,3500000,963813,0
5,49,77,0,1,4000000,1100983,0
5,49,77,0,1,4500000,1236083,0
5,49,77,0,1,5000000,1373199,0
5,49,77,0,1,5500000,1503020,0
5,49,77,0,1,6000000,1633685,0
5,49,77,0,1,6500000,1764763,0
5,49,77,0,1,7000000,1900973,0
5,49,77,0,1,7500000,2034176,0
5,49,77,0,1,8000000,2164491,0
5,49,77,0,1,8500000,2297869,0
5,49,77,0,1,9000000,2430310,0
5,49,77,0,1,9500000,2560732,0
5,49,77,0,1,10000000,2689034,0
5,49,77,0,1,10500000,2816516,0
5,49,77,0,1,11000000,2944006,0
5,49,77,0,1,11500000,3075948,0
5,49,77,0,1,12000000,3207255,0
5,49,77,1,1,500000,140752,0
5,49,77,1,1,1000000,277098,0
5,49,77,1,1,1500000,413043,0
5,49,77,1,1,2000000,543210,0
5,49,77,1,1,2500000,683414,0
5,49,77,1,1,3000000,820788,0
5,49,77,1,1,3500000,954518,0
5,49,77,1,1,4000000,1089748,0
5,49,77,1,1,4500000,1223379,0
5,49,77,1,1,5000000,1358287,0
5,49,77,1,1,5500000,1486743,0
5,49,77,1,1,6000000,1615951,0
5,49,77,1,1,6500000,1745647,0
5,49,77,1,1,7000000,1879759,0
5,49,77,1,1,7500000,2011497,0
5,49,77,1,1,8000000,2140737,0
5,49,77,1,1,8500000,2272582,0
5,49,77,1,1,9000000,2403276,0
5,49,77,1,1,9500000,2531985,0
5,49,77,1,1,10000000,2658807,0
5,49,77,1,1,10500000,2785231,0
5,49,77,1,1,11000000,2911943,0
5,49,77,1,1,11500000,3042649,0
5,49,77,1,1,12000000,3172723,0
