context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
9,1,1,0,1,2.40608,175424292
9,1,1,1,1,2.30567,160834978
9,1,9,0,1,2.21724,161048980
9,1,9,1,1,2.13125,161665560
9,1,17,0,1,2.12904,160278165
9,1,17,1,1,2.05016,160710263
9,1,25,0,1,2.06921,159051520
9,1,25,1,1,1.9954,160023336
9,1,33,0,1,2.02497,157752915
9,1,33,1,1,1.95368,157022357
9,1,41,0,1,1.9886,153685542
9,1,41,1,1,1.92049,154670387
9,1,49,0,1,1.95942,153756538
9,1,49,1,1,1.89389,154694812
9,1,57,0,1,1.93554,155500162
9,1,57,1,1,1.87241,154776328
9,1,65,0,1,1.91661,153657084
9,1,65,1,1,1.85568,154494307
9,1,73,0,1,1.90297,153743716
9,1,73,1,1,1.84392,154455579
9,1,81,0,1,1.89517,153568989
9,1,81,1,1,1.83723,154786302
9,1,89,0,1,1.8936,153677375
9,1,89,1,1,1.83732,154750143
9,1,97,0,1,1.90816,153764675
9,1,97,1,1,1.85372,154683650
9,9,1,0,1,2.2835,153711063
9,9,1,1,1,2.19271,154774422
9,9,9,0,1,2.16822,153623427
9,9,9,1,1,2.08603,154442678
9,9,17,0,1,2.09809,153583332
9,9,17,1,1,2.02181,154457094
9,9,25,0,1,2.04741,153403014
9,9,25,1,1,1.97546,154603111
9,9,33,0,1,2.00887,153472320
9,9,33,1,1,1.93904,154558794
9,9,41,0,1,1.97642,153668083
9,9,41,1,1,1.90939,154626622
9,9,49,0,1,1.95003,153593101
9,9,49,1,1,1.8854,154767399
9,9,57,0,1,1.92823,153481704
9,9,57,1,1,1.86587,154490819
9,9,65,0,1,1.91151,153300371
9,9,65,1,1,1.85069,154389438
9,9,73,0,1,1.89853,153329729
9,9,73,1,1,1.84009,154476822
9,9,81,0,1,1.89174,153457111
9,9,81,1,1,1.83432,154500116
9,9,89,0,1,1.89095,153480922
9,9,89,1,1,1.83507,154715841
9,9,97,0,1,1.90597,153692775
9,9,97,1,1,1.8518,154421484
9,17,1,0,1,2.22342,153582495
9,17,1,1,1,2.13743,154444548
9,17,9,0,1,2.134,153419627
9,17,9,1,1,2.05459,154571696
9,17,17,0,1,2.07441,153369016
9,17,17,1,1,2.00007,154407347
9,17,25,0,1,2.02995,153564967
9,17,25,1,1,1.95955,154425813
9,17,33,0,1,1.99559,153423715
9,17,33,1,1,1.92692,154788002
9,17,41,0,1,1.96601,153409251
9,17,41,1,1,1.89999,154464800
9,17,49,0,1,1.94185,153663997
9,17,49,1,1,1.87808,154394280
9,17,57,0,1,1.92181,153483008
9,17,57,1,1,1.86016,154602280
9,17,65,0,1,1.9065,153620997
9,17,65,1,1,1.8463,154377548
9,17,73,0,1,1.89462,153463157
9,17,73,1,1,1.83666,154397117
9,17,81,0,1,1.88865,153641019
9,17,81,1,1,1.83171,154601780
9,17,89,0,1,1.88854,153504592
9,17,89,1,1,1.83302,154459731
9,17,97,0,1,1.90385,153649255
9,17,97,1,1,1.84999,154394973
9,25,1,0,1,2.18232,153341943
9,25,1,1,1,2.09958,154522512
9,25,9,0,1,2.10767,153339755
9,25,9,1,1,2.03044,154876114
9,25,17,0,1,2.05525,153340388
9,25,17,1,1,1.98257,154466610
9,25,25,0,1,2.01543,153386564
9,25,25,1,1,1.94634,154384488
9,25,33,0,1,1.98425,153423355
9,25,33,1,1,1.91663,154454922
9,25,41,0,1,1.95704,153418260
9,25,41,1,1,1.89193,154488389
9,25,49,0,1,1.93473,153437056
9,25,49,1,1,1.8717,154458092
9,25,57,0,1,1.91619,153567091
9,25,57,1,1,1.85516,154448984
9,25,65,0,1,1.902,153428726
9,25,65,1,1,1.84238,154689888
9,25,73,0,1,1.89102,153429263
9,25,73,1,1,1.83358,154408890
9,25,81,0,1,1.88584,153669493
9,25,81,1,1,1.8293,154689251
9,25,89,0,1,1.88626,153459055
9,25,89,1,1,1.83112,154519332
9,25,97,0,1,1.90182,153372421
9,25,97,1,1,1.84828,154479975
9,33,1,0,1,2.15092,153453871
9,33,1,1,1,2.07076,154385106
9,33,9,0,1,2.08624,153970470
9,33,9,1,1,2.0108,154498270
9,33,17,0,1,2.03925,153369219
9,33,17,1,1,1.96792,154565356
9,33,25,0,1,2.00298,153499047
9,33,25,1,1,1.93501,154391140
9,33,33,0,1,1.97445,153502115
9,33,33,1,1,1.90769,154502685
9,33,41,0,1,1.94924,153519764
9,33,41,1,1,1.88487,154487422
9,33,49,0,1,1.92841,153538536
9,33,49,1,1,1.86605,154514665
9,33,57,0,1,1.91115,153429258
9,33,57,1,1,1.85067,154474505
9,33,65,0,1,1.89799,153408824
9,33,65,1,1,1.83883,154546413
9,33,73,0,1,1.88781,153496160
9,33,73,1,1,1.83079,154539623
9,33,81,0,1,1.88327,153554302
9,33,81,1,1,1.82708,154555659
9,33,89,0,1,1.88419,154046450
9,33,89,1,1,1.82936,154583995
9,33,97,0,1,1.89992,153657134
9,33,97,1,1,1.84664,154565960
9,41,1,0,1,2.12572,153435656
9,41,1,1,1,2.04758,154578515
9,41,9,0,1,2.06833,153645566
9,41,9,1,1,1.99438,154535567
9,41,17,0,1,2.02551,153476636
9,41,17,1,1,1.95538,154439549
9,41,25,0,1,1.99215,153330100
9,41,25,1,1,1.92518,154708080
9,41,33,0,1,1.96579,153438409
9,41,33,1,1,1.89984,154449029
9,41,41,0,1,1.94224,153323417
9,41,41,1,1,1.87857,154554579
9,41,49,0,1,1.92272,153488915
9,41,49,1,1,1.86097,154541996
9,41,57,0,1,1.90655,153542443
9,41,57,1,1,1.84664,154469829
9,41,65,0,1,1.89428,153457957
9,41,65,1,1,1.83561,154622580
9,41,73,0,1,1.88482,153498391
9,41,73,1,1,1.82822,154493109
9,41,81,0,1,1.88087,153531288
9,41,81,1,1,1.82505,154478415
9,41,89,0,1,1.88221,153413196
9,41,89,1,1,1.82769,154615310
9,41,97,0,1,1.89812,153453650
9,41,97,1,1,1.84513,154488536
9,49,1,0,1,2.10466,153676611
9,49,1,1,1,2.02823,154449499
9,49,9,0,1,2.0529,153434998
9,49,9,1,1,1.98027,154500321
9,49,17,0,1,2.01355,153947878
9,49,17,1,1,1.9445,154492251
9,49,25,0,1,1.98255,153456782
9,49,25,1,1,1.91649,154507779
9,49,33,0,1,1.95803,153452708
9,49,33,1,1,1.89284,154506439
9,49,41,0,1,1.93594,154193259
9,49,41,1,1,1.87289,154518493
9,49,49,0,1,1.91758,153493029
9,49,49,1,1,1.85644,154652211
9,49,57,0,1,1.90237,153503526
9,49,57,1,1,1.84297,154564677
9,49,65,0,1,1.89087,153603017
9,49,65,1,1,1.83264,154530644
9,49,73,0,1,1.88206,153793391
9,49,73,1,1,1.82588,154692634
9,49,81,0,1,1.87865,153491403
9,49,81,1,1,1.82315,154515147
9,49,89,0,1,1.88039,153583096
9,49,89,1,1,1.82612,154423355
9,49,97,0,1,1.89642,153486998
9,49,97,1,1,1.84368,154641477
9,57,1,0,1,2.08665,153346359
9,57,1,1,1,2.01171,154378352
9,57,9,0,1,2.0394,153461421
9,57,9,1,1,1.96794,154396408
9,57,17,0,1,2.00292,153403468
9,57,17,1,1,1.93485,154389188
9,57,25,0,1,1.97399,153232109
9,57,25,1,1,1.90873,154244809
9,57,33,0,1,1.9511,153399371
9,57,33,1,1,1.88658,154356114
9,57,41,0,1,1.9302,153689796
9,57,41,1,1,1.86776,154532755
9,57,49,0,1,1.91293,153321561
9,57,49,1,1,1.85227,154417346
9,57,57,0,1,1.89852,153439432
9,57,57,1,1,1.83958,154380272
9,57,65,0,1,1.88774,153382194
9,57,65,1,1,1.8299,154767563
9,57,73,0,1,1.8795,153348012
9,57,73,1,1,1.82369,154387328
9,57,81,0,1,1.8766,153371194
9,57,81,1,1,1.82139,154517686
9,57,89,0,1,1.8787,153351410
9,57,89,1,1,1.82466,154389165
9,57,97,0,1,1.89478,153570176
9,57,97,1,1,1.8423,154397736
9,65,1,0,1,2.07097,154056423
9,65,1,1,1,1.99733,154454257
9,65,9,0,1,2.02748,153421333
9,65,9,1,1,1.95706,154551367
9,65,17,0,1,1.99343,153452437
9,65,17,1,1,1.92621,154403004
9,65,25,0,1,1.96627,153771864
9,65,25,1,1,1.90176,154555737
9,65,33,0,1,1.94481,153280674
9,65,33,1,1,1.88092,154457931
9,65,41,0,1,1.92497,153512069
9,65,41,1,1,1.86308,154412489
9,65,49,0,1,1.9086,153423308
9,65,49,1,1,1.84845,154942377
9,65,57,0,1,1.89492,153355951
9,65,57,1,1,1.83649,154416136
9,65,65,0,1,1.88479,153317717
9,65,65,1,1,1.82737,154324167
9,65,73,0,1,1.87714,153538957
9,65,73,1,1,1.82166,154480389
9,65,81,0,1,1.87466,153354209
9,65,81,1,1,1.81972,154404488
9,65,89,0,1,1.877,153541273
9,65,89,1,1,1.82327,154532791
9,65,97,0,1,1.89319,153392860
9,65,97,1,1,1.84095,154617968
9,73,1,0,1,2.05717,153411805
9,73,1,1,1,1.98467,154533605
9,73,9,0,1,2.01689,153412584
9,73,9,1,1,1.94734,154447084
9,73,17,0,1,1.98485,153582559
9,73,17,1,1,1.91842,154372012
9,73,25,0,1,1.95926,153458830
9,73,25,1,1,1.89541,154366098
9,73,33,0,1,1.93897,153962715
9,73,33,1,1,1.8757,154386153
9,73,41,0,1,1.92018,153416037
9,73,41,1,1,1.85881,154271457
9,73,49,0,1,1.90458,153787388
9,73,49,1,1,1.84493,154375003
9,73,57,0,1,1.89211,153479303
9,73,57,1,1,1.83363,154465439
9,73,65,0,1,1.88208,153817372
9,73,65,1,1,1.82503,154385045
9,73,73,0,1,1.87491,153613676
9,73,73,1,1,1.81977,154411193
9,73,81,0,1,1.87279,154102927
9,73,81,1,1,1.81816,154917838
9,73,89,0,1,1.87543,153813623
9,73,89,1,1,1.82194,154399201
9,73,97,0,1,1.89177,153437821
9,73,97,1,1,1.83969,154875721
9,81,1,0,1,2.04482,153424059
9,81,1,1,1,1.9734,154379931
9,81,9,0,1,2.00724,153640388
9,81,9,1,1,1.93858,154506608
9,81,17,0,1,1.977,153491119
9,81,17,1,1,1.91137,154430522
9,81,25,0,1,1.95289,153391781
9,81,25,1,1,1.88962,154526311
9,81,33,0,1,1.93364,153349232
9,81,33,1,1,1.87089,154566271
9,81,41,0,1,1.91575,153472769
9,81,41,1,1,1.85484,154416472
9,81,49,0,1,1.9009,153426680
9,81,49,1,1,1.8417,154610452
9,81,57,0,1,1.88909,153479179
9,81,57,1,1,1.83095,154490413
9,81,65,0,1,1.87953,153484483
9,81,65,1,1,1.82283,154499595
9,81,73,0,1,1.87287,153498117
9,81,73,1,1,1.81801,154503034
9,81,81,0,1,1.87111,153443965
9,81,81,1,1,1.81669,154563371
9,81,89,0,1,1.87393,153384471
9,81,89,1,1,1.82071,154422034
9,81,97,0,1,1.89033,153384952
9,81,97,1,1,1.83849,154634255
9,89,1,0,1,2.03372,153526496
9,89,1,1,1,1.9632,154439929
9,89,9,0,1,1.99847,153326186
9,89,9,1,1,1.9306,154708017
9,89,17,0,1,1.96986,153386547
9,89,17,1,1,1.90488,154385286
9,89,25,0,1,1.94695,153716530
9,89,25,1,1,1.88431,154384023
9,89,33,0,1,1.92868,153383338
9,89,33,1,1,1.86645,154501045
9,89,41,0,1,1.91164,153292276
9,89,41,1,1,1.8512,154363032
9,89,49,0,1,1.89745,153468064
9,89,49,1,1,1.83867,154576319
9,89,57,0,1,1.88628,153443622
9,89,57,1,1,1.82844,155102480
9,89,65,0,1,1.87711,153437700
9,89,65,1,1,1.82078,154349429
9,89,73,0,1,1.87093,153453105
9,89,73,1,1,1.81634,154359421
9,89,81,0,1,1.86948,153420198
9,89,81,1,1,1.81528,154607226
9,89,89,0,1,1.87251,153333999
9,89,89,1,1,1.81953,154426664
9,89,97,0,1,1.88899,153381070
9,89,97,1,1,1.83733,154655166
9,97,1,0,1,2.0237,153330217
9,97,1,1,1,1.95406,154469525
9,97,9,0,1,1.99045,153338841
9,97,9,1,1,1.92328,154444504
9,97,17,0,1,1.96332,153334767
9,97,17,1,1,1.89894,154361628
9,97,25,0,1,1.94148,153348291
9,97,25,1,1,1.87941,154367783
9,97,33,0,1,1.9241,153363648
9,97,33,1,1,1.86236,154464074
9,97,41,0,1,1.90778,153572426
9,97,41,1,1,1.84778,154667967
9,97,49,0,1,1.89425,153348646
9,97,49,1,1,1.83586,154362517
9,97,57,0,1,1.88357,153563356
9,97,57,1,1,1.8261,154402343
9,97,65,0,1,1.87489,153381319
9,97,65,1,1,1.81887,154454055
9,97,73,0,1,1.86902,153342685
9,97,73,1,1,1.81474,154353117
9,97,81,0,1,1.86793,153406949
9,97,81,1,1,1.81396,154395041
9,97,89,0,1,1.87113,153340457
9,97,89,1,1,1.81839,154467765
9,97,97,0,1,1.88766,153354275
9,97,97,1,1,1.83621,154344931
