context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
6,41,65,0,1,2.55223,128776529
6,41,65,1,1,2.52868,129591309
6,41,73,0,1,2.55142,128715731
6,41,73,1,1,2.52891,129298501
6,41,81,0,1,2.55291,129019603
6,41,81,1,1,2.53057,129205447
6,41,89,0,1,2.55568,128988735
6,41,89,1,1,2.53386,129305801
6,41,97,0,1,2.56249,128866666
6,41,97,1,1,2.5412,129194605
6,49,1,0,1,2.59595,128759098
6,49,1,1,1,2.56384,129438922
6,49,9,0,1,2.58254,128726254
6,49,9,1,1,2.5523,129216289
6,49,17,0,1,2.57359,128708688
6,49,17,1,1,2.54476,129360367
6,49,25,0,1,2.56678,129259440
6,49,25,1,1,2.53939,129244532
6,49,33,0,1,2.562,128799678
6,49,33,1,1,2.53544,129317568
6,49,41,0,1,2.55823,128962064
6,49,41,1,1,2.53257,129312643
6,49,49,0,1,2.55522,128734331
6,49,49,1,1,2.53044,129721539
6,49,57,0,1,2.55306,128758818
6,49,57,1,1,2.52911,129663822
6,49,65,0,1,2.5517,128721942
6,49,65,1,1,2.52838,129355013
6,49,73,0,1,2.55103,128662451
6,49,73,1,1,2.52872,129183369
6,49,81,0,1,2.55263,128685396
6,49,81,1,1,2.53041,129069643
6,49,89,0,1,2.5555,128576921
6,49,89,1,1,2.53377,128819010
6,49,97,0,1,2.56224,128627154
6,49,97,1,1,2.54107,129431621
6,57,1,0,1,2.59224,129207777
6,57,1,1,1,2.56075,129206134
6,57,9,0,1,2.58005,128890071
6,57,9,1,1,2.55026,129278588
6,57,17,0,1,2.57173,129180292
6,57,17,1,1,2.54331,129260701
6,57,25,0,1,2.56542,129516272
6,57,25,1,1,2.5383,129335740
6,57,33,0,1,2.56093,128718588
6,57,33,1,1,2.53462,129188819
6,57,41,0,1,2.55732,128808471
6,57,41,1,1,2.53193,129279804
6,57,49,0,1,2.55456,128701530
6,57,49,1,1,2.52997,129394175
6,57,57,0,1,2.55252,128635977
6,57,57,1,1,2.52873,129308238
6,57,65,0,1,2.55131,128662973
6,57,65,1,1,2.52813,129432260
6,57,73,0,1,2.55068,128785920
6,57,73,1,1,2.52856,129473457
6,57,81,0,1,2.55236,128527535
6,57,81,1,1,2.53029,129346955
6,57,89,0,1,2.55525,128705001
6,57,89,1,1,2.53366,129435225
6,57,97,0,1,2.56201,128774782
6,57,97,1,1,2.54093,129375234
6,65,1,0,1,2.58903,128644789
6,65,1,1,1,2.55809,129040560
6,65,9,0,1,2.57787,129201815
6,65,9,1,1,2.54847,129400500
6,65,17,0,1,2.57009,128870360
6,65,17,1,1,2.542,129230359
6,65,25,0,1,2.56419,129011021
6,65,25,1,1,2.53732,129558896
6,65,33,0,1,2.55999,129174015
6,65,33,1,1,2.53389,129165382
6,65,41,0,1,2.55651,128628355
6,65,41,1,1,2.53135,129179487
6,65,49,0,1,2.55392,128930401
6,65,49,1,1,2.52952,129209401
6,65,57,0,1,2.55201,128848087
6,65,57,1,1,2.5284,129454854
6,65,65,0,1,2.55092,128912074
6,65,65,1,1,2.52788,129226870
6,65,73,0,1,2.55047,128718031
6,65,73,1,1,2.52842,129295421
6,65,81,0,1,2.5521,128763143
6,65,81,1,1,2.53017,129196346
6,65,89,0,1,2.55505,128926278
6,65,89,1,1,2.53357,129176657
6,65,97,0,1,2.56175,128827187
6,65,97,1,1,2.54079,128842043
6,73,1,0,1,2.5862,128772839
6,73,1,1,1,2.55578,129172293
6,73,9,0,1,2.57595,128628306
6,73,9,1,1,2.54689,128931960
6,73,17,0,1,2.56862,128509996
6,73,17,1,1,2.54085,129223177
6,73,25,0,1,2.56307,128625540
6,73,25,1,1,2.53645,128884423
6,73,33,0,1,2.55903,128492568
6,73,33,1,1,2.53318,129054695
6,73,41,0,1,2.55578,128838833
6,73,41,1,1,2.53082,129165281
6,73,49,0,1,2.55333,128812934
6,73,49,1,1,2.52913,129190227
6,73,57,0,1,2.55159,128775927
6,73,57,1,1,2.52809,129199229
6,73,65,0,1,2.55054,128755776
6,73,65,1,1,2.52766,129255637
6,73,73,0,1,2.55026,129347290
6,73,73,1,1,2.52828,129205938
6,73,81,0,1,2.55185,128755533
6,73,81,1,1,2.53006,129184478
6,73,89,0,1,2.55493,128879259
6,73,89,1,1,2.53349,129161741
6,73,97,0,1,2.56161,128734954
6,73,97,1,1,2.54066,129204142
6,81,1,0,1,2.58371,128819926
6,81,1,1,1,2.55371,129215842
6,81,9,0,1,2.5742,128845117
6,81,9,1,1,2.54549,129453137
6,81,17,0,1,2.56724,128924085
6,81,17,1,1,2.53979,129125747
6,81,25,0,1,2.56197,128588925
6,81,25,1,1,2.53563,129077692
6,81,33,0,1,2.55821,128622872
6,81,33,1,1,2.53253,129169300
6,81,41,0,1,2.55511,128586666
6,81,41,1,1,2.53033,129110564
6,81,49,0,1,2.55275,128623215
6,81,49,1,1,2.52878,129172339
6,81,57,0,1,2.55114,128680993
6,81,57,1,1,2.52779,129185802
